index	highest_proba	outcome	cost_of_classification	used_features
0	0.9482023888259308	0.0	1	spore_print_color
1	0.9524252532529212	0.0	1	spore_print_color
2	0.9537065257790428	0.0	1	spore_print_color
3	0.9497556865508588	0.0	1	spore_print_color
4	0.9527660856312408	0.0	1	spore_print_color
5	0.9467107171406232	0.0	1	spore_print_color
6	0.949694400542897	0.0	1	spore_print_color
7	0.9521159900447818	0.0	1	spore_print_color
8	0.9497556865508588	0.0	1	spore_print_color
9	0.946532633801806	0.0	1	spore_print_color
10	0.9529332669313068	0.0	1	spore_print_color
11	0.946532633801806	0.0	1	spore_print_color
12	0.9524198557790644	0.0	1	spore_print_color
13	0.9537065257790428	0.0	1	spore_print_color
14	0.9481162405063892	0.0	1	spore_print_color
15	0.9521159900447818	0.0	1	spore_print_color
16	0.9537065257790428	0.0	1	spore_print_color
17	0.9457249944575438	0.0	1	spore_print_color
18	0.9529332669313068	0.0	1	spore_print_color
19	0.9521029159390068	0.0	1	spore_print_color
20	0.9521029159390068	0.0	1	spore_print_color
21	0.9521029159390068	0.0	1	spore_print_color
22	0.9530526437146414	0.0	1	spore_print_color
23	0.9521029159390068	0.0	1	spore_print_color
24	0.9481162405063892	0.0	1	spore_print_color
25	0.9537065257790428	0.0	1	spore_print_color
26	0.9524198557790644	0.0	1	spore_print_color
27	0.9529332669313068	0.0	1	spore_print_color
28	0.9481162405063892	0.0	1	spore_print_color
29	0.9517519747330624	0.0	1	spore_print_color
30	0.950058051847403	0.0	1	spore_print_color
31	0.9524198557790644	0.0	1	spore_print_color
32	0.9524252532529212	0.0	1	spore_print_color
33	0.9524198557790644	0.0	1	spore_print_color
34	0.9521029159390068	0.0	1	spore_print_color
35	0.9537065257790428	0.0	1	spore_print_color
36	0.946532633801806	0.0	1	spore_print_color
37	0.9529332669313068	0.0	1	spore_print_color
38	0.9537065257790428	0.0	1	spore_print_color
39	0.9481162405063892	0.0	1	spore_print_color
40	0.9529332669313068	0.0	1	spore_print_color
41	0.949694400542897	0.0	1	spore_print_color
42	0.9473349184851668	0.0	1	spore_print_color
43	0.9527660856312408	0.0	1	spore_print_color
44	0.9481162405063892	0.0	1	spore_print_color
45	0.9527660856312408	0.0	1	spore_print_color
46	0.9497556865508588	0.0	1	spore_print_color
47	0.9521029159390068	0.0	1	spore_print_color
48	0.9524198557790644	0.0	1	spore_print_color
49	0.946532633801806	0.0	1	spore_print_color
50	0.9497556865508588	0.0	1	spore_print_color
51	0.946532633801806	0.0	1	spore_print_color
52	0.950058051847403	0.0	1	spore_print_color
53	0.9529332669313068	0.0	1	spore_print_color
54	0.9482023888259308	0.0	1	spore_print_color
55	0.9472295932689556	0.0	1	spore_print_color
56	0.9529332669313068	0.0	1	spore_print_color
57	0.9527660856312408	0.0	1	spore_print_color
58	0.9467107171406232	0.0	1	spore_print_color
59	0.949694400542897	0.0	1	spore_print_color
60	0.9521029159390068	0.0	1	spore_print_color
61	0.950058051847403	0.0	1	spore_print_color
62	0.9517519747330624	0.0	1	spore_print_color
63	0.9524198557790644	0.0	1	spore_print_color
64	0.9537065257790428	0.0	1	spore_print_color
65	0.9482023888259308	0.0	1	spore_print_color
66	0.9481162405063892	0.0	1	spore_print_color
67	0.9521029159390068	0.0	1	spore_print_color
68	0.949001325989729	0.0	1	spore_print_color
69	0.9537065257790428	0.0	1	spore_print_color
70	0.9521029159390068	0.0	1	spore_print_color
71	0.9521029159390068	0.0	1	spore_print_color
72	0.9527660856312408	0.0	1	spore_print_color
73	0.9481162405063892	0.0	1	spore_print_color
74	0.9472295932689556	0.0	1	spore_print_color
75	0.9530526437146414	0.0	1	spore_print_color
76	0.985451793601598	0.0	1	spore_print_color
77	0.9530526437146414	0.0	1	spore_print_color
78	0.950058051847403	0.0	1	spore_print_color
79	0.9521159900447818	0.0	1	spore_print_color
80	0.9524252532529212	0.0	1	spore_print_color
81	0.9472295932689556	0.0	1	spore_print_color
82	0.9530526437146414	0.0	1	spore_print_color
83	0.9524198557790644	0.0	1	spore_print_color
84	0.9482023888259308	0.0	1	spore_print_color
85	0.9481162405063892	0.0	1	spore_print_color
86	0.9467107171406232	0.0	1	spore_print_color
87	0.9524252532529212	0.0	1	spore_print_color
88	0.949694400542897	0.0	1	spore_print_color
89	0.950058051847403	0.0	1	spore_print_color
90	0.9521029159390068	0.0	1	spore_print_color
91	0.9467107171406232	0.0	1	spore_print_color
92	0.9457249944575438	0.0	1	spore_print_color
93	0.9467107171406232	0.0	1	spore_print_color
94	0.9529332669313068	0.0	1	spore_print_color
95	0.9537065257790428	0.0	1	spore_print_color
96	0.9537065257790428	0.0	1	spore_print_color
97	0.946532633801806	0.0	1	spore_print_color
98	0.9521159900447818	0.0	1	spore_print_color
99	0.9457249944575438	0.0	1	spore_print_color
100	0.949001325989729	0.0	1	spore_print_color
101	0.9457249944575438	0.0	1	spore_print_color
102	0.9530526437146414	0.0	1	spore_print_color
103	0.946532633801806	0.0	1	spore_print_color
104	0.9529332669313068	0.0	1	spore_print_color
105	0.949001325989729	0.0	1	spore_print_color
106	0.9524198557790644	0.0	1	spore_print_color
107	0.949001325989729	0.0	1	spore_print_color
108	0.9524198557790644	0.0	1	spore_print_color
109	0.9467107171406232	0.0	1	spore_print_color
110	0.9481162405063892	0.0	1	spore_print_color
111	0.9481162405063892	0.0	1	spore_print_color
112	0.9864512022185028	0.0	1	spore_print_color
113	0.949001325989729	0.0	1	spore_print_color
114	0.9530526437146414	0.0	1	spore_print_color
115	0.9537065257790428	0.0	1	spore_print_color
116	0.9524252532529212	0.0	1	spore_print_color
