	highest_proba	outcome	cost_of_classification	used_features
2	0.9282576449225209	7	9	notch_at_4k,o_ar_c,history_noise,notch_4k,mod_sn_gt_3k,history_nausea,history_vomiting,m_sn_gt_4k,m_sn_gt_1k
10	0.9309886866503226	2	10	notch_at_4k,o_ar_c,history_noise,mod_sn_gt_3k,bser,air,m_m_sn_gt_1k,o_ar_u,notch_4k,ar_u
21	0.9991006599585693	2	43	notch_at_4k,o_ar_c,history_noise,mod_sn_gt_3k,m_m_sn_gt_1k,m_sn_gt_1k,mod_sn_gt_2k,air,bone,o_ar_u,ar_u,bser,mod_sn_gt_1k,history_vomiting,m_s_gt_500,m_s_sn_gt_4k,m_sn_lt_2k,m_sn_lt_3k,history_nausea,m_sn_2_3k,airBoneGap,boneAbnormal,history_roaring,m_cond_lt_1k,history_buzzing,m_sn_gt_3k,mod_sn_gt_4k,history_fluctuating,history_fullness,mod_sn_gt_500,mod_gt_4k,history_dizziness,m_p_sn_gt_2k,m_s_sn_gt_1k,notch_4k,m_m_sn_gt_2k,m_m_sn,m_sn_gt_6k,m_sn_gt_4k,mod_mixed,ar_c,vmod_s_mixed,s_sn_gt_2k
22	0.909583511984156	7	14	notch_at_4k,o_ar_c,history_noise,mod_sn_gt_3k,m_m_sn_gt_1k,m_sn_gt_1k,mod_sn_gt_2k,air,bone,bser,m_cond_lt_1k,ar_c,o_ar_u,m_sn_gt_4k
26	0.9136105344273445	7	52	notch_at_4k,o_ar_c,history_noise,mod_sn_gt_3k,bser,air,m_m_sn_gt_1k,bone,o_ar_u,history_vomiting,mod_sn_gt_2k,m_sn_2_3k,m_s_gt_500,m_sn_lt_2k,m_sn_lt_3k,mod_sn_gt_1k,history_nausea,ar_u,m_s_sn_gt_4k,history_roaring,m_sn_gt_3k,airBoneGap,boneAbnormal,m_cond_lt_1k,mod_sn_gt_4k,m_p_sn_gt_2k,history_buzzing,mod_sn_gt_500,notch_4k,m_m_sn_gt_2k,m_sn_gt_2k,history_fluctuating,mod_gt_4k,m_s_sn_gt_1k,history_fullness,m_sn_gt_6k,history_dizziness,ar_c,m_sn_gt_4k,m_m_sn,m_sn_gt_1k,mod_mixed,vmod_s_mixed,s_sn_gt_2k,mod_sn,history_heredity,history_recruitment,tymp,history_ringing,late_wave_poor,m_m_gt_2k,static_normal
36	0.9117936397062677	3	4	notch_at_4k,o_ar_c,history_noise,notch_4k
53	0.9015100652345374	7	49	notch_at_4k,o_ar_c,history_noise,notch_4k,m_sn_gt_1k,mod_sn_gt_3k,history_nausea,history_vomiting,air,m_sn_2_3k,m_sn_gt_4k,m_sn_lt_2k,m_sn_lt_3k,mod_sn_gt_1k,mod_sn_gt_2k,m_m_sn_gt_2k,history_roaring,m_sn_gt_3k,m_s_sn_gt_4k,ar_c,ar_u,airBoneGap,boneAbnormal,bser,history_buzzing,m_cond_lt_1k,mod_sn_gt_4k,mod_sn_gt_500,history_fluctuating,m_p_sn_gt_2k,m_sn_gt_2k,m_m_gt_2k,o_ar_u,mod_gt_4k,static_normal,m_s_gt_500,history_dizziness,m_s_sn_gt_1k,m_sn_gt_6k,mod_mixed,bone,vmod_s_mixed,m_m_sn,mod_sn,history_fullness,tymp,history_heredity,history_recruitment,history_ringing
66	0.9175313101398024	7	43	notch_at_4k,o_ar_c,history_noise,mod_sn_gt_3k,bser,air,m_m_sn_gt_1k,bone,o_ar_u,ar_u,history_vomiting,mod_sn_gt_1k,m_sn_2_3k,mod_sn_gt_2k,m_s_gt_500,m_s_sn_gt_4k,m_sn_lt_2k,m_sn_lt_3k,history_nausea,history_roaring,airBoneGap,boneAbnormal,history_buzzing,history_fluctuating,m_sn_gt_3k,mod_gt_4k,history_fullness,mod_sn_gt_4k,mod_sn_gt_500,history_heredity,m_cond_lt_1k,notch_4k,m_m_sn_gt_2k,m_sn_gt_2k,history_recruitment,history_ringing,m_p_sn_gt_2k,history_dizziness,ar_c,m_sn_gt_4k,m_m_sn,m_sn_gt_1k,s_sn_gt_2k
78	0.909583511984156	7	14	notch_at_4k,o_ar_c,history_noise,mod_sn_gt_3k,m_m_sn_gt_1k,m_sn_gt_1k,mod_sn_gt_2k,air,bone,bser,m_cond_lt_1k,ar_c,o_ar_u,m_sn_gt_4k
88	0.9316457758610073	2	9	notch_at_4k,o_ar_c,history_noise,mod_sn_gt_3k,bser,air,m_m_sn_gt_1k,o_ar_u,notch_4k
100	0.9363741708582971	7	7	notch_at_4k,o_ar_c,history_noise,notch_4k,ar_c,mod_sn_gt_3k,history_nausea
110	0.9961151765012315	7	4	notch_at_4k,o_ar_c,history_noise,mod_sn_gt_3k
116	0.9308797090511602	2	5	notch_at_4k,o_ar_c,history_noise,notch_4k,m_sn_gt_1k
129	0.9066996177720742	7	64	notch_at_4k,o_ar_c,history_noise,mod_sn_gt_3k,bser,air,m_m_sn_gt_1k,o_ar_u,notch_4k,ar_u,m_sn_gt_4k,history_nausea,m_sn_lt_2k,m_sn_lt_3k,mod_sn_gt_1k,mod_sn_gt_2k,m_s_sn_gt_4k,m_m_sn_gt_2k,history_vomiting,m_sn_2_3k,airBoneGap,boneAbnormal,history_roaring,history_buzzing,history_fluctuating,m_s_gt_500,m_sn_gt_3k,m_cond_lt_1k,history_fullness,mod_sn_gt_4k,mod_sn_gt_500,history_heredity,m_p_sn_gt_2k,ar_c,history_recruitment,history_ringing,late_wave_poor,m_at_2k,mod_gt_4k,m_sn_gt_2k,m_s_sn_gt_1k,bone,m_sn_gt_6k,mod_mixed,vmod_s_mixed,history_dizziness,m_m_sn,m_sn_gt_1k,s_sn_gt_2k,mod_sn,m_gt_1k,m_m_gt_2k,tymp,m_m_sn_gt_500,m_s_sn,static_normal,m_s_sn_gt_2k,m_s_sn_gt_3k,m_sn_gt_500,m_sn_lt_1k,middle_wave_poor,mod_s_sn_gt_500,s_sn_gt_1k,s_sn_gt_4k
164	0.9316457758610073	2	9	notch_at_4k,o_ar_c,history_noise,mod_sn_gt_3k,bser,air,m_m_sn_gt_1k,o_ar_u,notch_4k
177	0.9224206605193327	7	41	notch_at_4k,o_ar_c,history_noise,mod_sn_gt_3k,m_m_sn_gt_1k,m_sn_gt_1k,mod_sn_gt_2k,air,bone,o_ar_u,m_s_gt_500,m_sn_lt_2k,history_vomiting,m_sn_lt_3k,m_s_sn_gt_4k,m_sn_2_3k,history_nausea,mod_sn_gt_1k,airBoneGap,bser,history_roaring,m_sn_gt_3k,notch_4k,m_m_sn_gt_2k,s_sn_gt_2k,m_sn_gt_2k,mod_sn_gt_4k,m_cond_lt_1k,mod_sn_gt_500,mod_gt_4k,m_p_sn_gt_2k,m_s_sn_gt_1k,m_sn_gt_4k,ar_c,m_sn_gt_6k,ar_u,boneAbnormal,mod_mixed,vmod_s_mixed,mod_sn,m_m_sn
183	0.9021676468291943	7	57	notch_at_4k,o_ar_c,history_noise,mod_sn_gt_3k,bser,air,m_m_sn_gt_1k,o_ar_u,notch_4k,ar_u,m_sn_gt_4k,history_nausea,m_sn_lt_2k,m_sn_lt_3k,mod_sn_gt_1k,mod_sn_gt_2k,m_s_sn_gt_4k,m_m_sn_gt_2k,history_vomiting,m_sn_2_3k,airBoneGap,boneAbnormal,history_roaring,history_buzzing,history_fluctuating,m_s_gt_500,m_sn_gt_3k,m_cond_lt_1k,history_fullness,mod_sn_gt_4k,mod_sn_gt_500,history_heredity,m_p_sn_gt_2k,ar_c,history_recruitment,history_ringing,late_wave_poor,m_at_2k,mod_gt_4k,m_sn_gt_2k,m_s_sn_gt_1k,bone,m_sn_gt_6k,history_dizziness,m_m_sn,mod_mixed,m_sn_gt_1k,s_sn_gt_2k,m_gt_1k,vmod_s_mixed,mod_sn,tymp,m_m_sn_gt_500,static_normal,m_m_gt_2k,m_s_sn,m_s_sn_gt_2k
186	0.9102604896709396	7	53	notch_at_4k,o_ar_c,history_noise,mod_sn_gt_3k,bser,air,m_m_sn_gt_1k,o_ar_u,notch_4k,ar_u,m_sn_gt_4k,history_nausea,m_sn_lt_2k,m_sn_lt_3k,mod_sn_gt_1k,mod_sn_gt_2k,m_s_sn_gt_4k,m_m_sn_gt_2k,history_vomiting,m_sn_2_3k,airBoneGap,boneAbnormal,history_roaring,history_buzzing,history_fluctuating,m_s_gt_500,m_sn_gt_3k,m_cond_lt_1k,history_fullness,mod_sn_gt_4k,mod_sn_gt_500,history_heredity,m_p_sn_gt_2k,ar_c,history_recruitment,bone,history_ringing,late_wave_poor,mod_gt_4k,history_dizziness,m_s_sn_gt_1k,m_sn_gt_6k,m_m_sn,m_sn_gt_1k,m_sn_gt_2k,s_sn_gt_2k,m_at_2k,mod_mixed,vmod_s_mixed,mod_sn,tymp,static_normal,m_gt_1k
187	0.9060048186913491	7	3	notch_at_4k,o_ar_c,history_noise
190	0.9060048186913491	7	3	notch_at_4k,o_ar_c,history_noise
