	highest_proba	outcome	cost_of_classification	used_features
5	0.6038690635319167	7	67	o_ar_c,history_noise,notch_at_4k,mod_sn_gt_3k,o_ar_u,bser,air,ar_u,m_sn_gt_4k,m_s_sn_gt_3k,m_s_sn_gt_4k,m_m_sn_gt_500,history_vomiting,m_s_gt_500,m_sn_lt_2k,m_sn_lt_3k,m_m_sn_gt_2k,mod_sn_gt_1k,history_nausea,mod_sn_gt_2k,s_sn_gt_2k,m_m_sn_gt_1k,mod_sn_gt_500,m_sn_2_3k,boneAbnormal,notch_4k,airBoneGap,m_m_sn,history_buzzing,history_dizziness,history_fluctuating,history_fullness,history_heredity,history_recruitment,history_ringing,history_roaring,late_wave_poor,m_at_2k,m_cond_lt_1k,m_gt_1k,m_p_sn_gt_2k,m_sn_gt_3k,mod_gt_4k,m_m_gt_2k,m_s_sn,mod_sn_gt_4k,m_s_sn_gt_1k,m_s_sn_gt_2k,m_sn_gt_6k,bone,mod_mixed,ar_c,m_sn_gt_1k,m_sn_gt_500,m_sn_lt_1k,vmod_s_mixed,mod_sn,tymp,m_sn_gt_2k,middle_wave_poor,mod_s_sn_gt_500,s_sn_gt_1k,s_sn_gt_4k,viith_nerve_signs,wave_V_delayed,waveform_ItoV_prolonged,static_normal
11	0.5860233904142078	7	67	o_ar_c,history_noise,notch_at_4k,mod_sn_gt_3k,o_ar_u,bser,air,ar_u,m_sn_gt_4k,m_s_sn_gt_3k,m_s_sn_gt_4k,m_m_sn_gt_500,history_vomiting,m_s_gt_500,m_sn_lt_2k,m_sn_lt_3k,m_m_sn_gt_2k,mod_sn_gt_1k,history_nausea,mod_sn_gt_2k,s_sn_gt_2k,m_m_sn_gt_1k,mod_sn_gt_500,m_sn_2_3k,boneAbnormal,notch_4k,airBoneGap,m_m_sn,history_buzzing,history_dizziness,history_fluctuating,history_fullness,history_heredity,history_recruitment,history_ringing,history_roaring,late_wave_poor,m_at_2k,m_cond_lt_1k,m_gt_1k,m_p_sn_gt_2k,m_sn_gt_3k,mod_gt_4k,m_m_gt_2k,m_s_sn,mod_sn_gt_4k,m_s_sn_gt_1k,m_s_sn_gt_2k,m_sn_gt_6k,bone,mod_mixed,vmod_s_mixed,mod_sn,ar_c,m_sn_gt_1k,m_sn_gt_500,m_sn_lt_1k,tymp,m_sn_gt_2k,middle_wave_poor,mod_s_sn_gt_500,s_sn_gt_1k,s_sn_gt_4k,static_normal,viith_nerve_signs,wave_V_delayed,waveform_ItoV_prolonged
38	0.9663217586131115	9	4	o_ar_c,history_noise,air,airBoneGap
41	0.9435023295423974	7	5	o_ar_c,history_noise,air,airBoneGap,ar_c
50	0.9995013615127492	2	62	o_ar_c,history_noise,notch_at_4k,mod_sn_gt_3k,o_ar_u,bser,air,ar_u,m_sn_gt_4k,m_m_sn_gt_500,history_nausea,m_s_gt_500,m_sn_lt_2k,m_sn_lt_3k,history_vomiting,mod_sn_gt_2k,m_s_sn_gt_4k,mod_sn_gt_1k,boneAbnormal,m_s_sn_gt_3k,airBoneGap,mod_sn_gt_500,m_sn_gt_3k,m_m_sn_gt_2k,m_sn_2_3k,notch_4k,history_buzzing,m_m_sn,history_fluctuating,history_dizziness,history_fullness,history_heredity,history_recruitment,history_ringing,history_roaring,late_wave_poor,m_at_2k,m_cond_lt_1k,m_gt_1k,m_m_gt_2k,mod_sn_gt_4k,m_m_sn_gt_1k,m_p_sn_gt_2k,m_s_sn,m_s_sn_gt_1k,mod_gt_4k,bone,m_sn_gt_6k,m_s_sn_gt_2k,m_sn_gt_1k,ar_c,mod_mixed,m_sn_gt_500,m_sn_lt_1k,middle_wave_poor,vmod_s_mixed,m_sn_gt_2k,mod_s_sn_gt_500,mod_sn,tymp,s_sn_gt_1k,s_sn_gt_2k
63	0.9979512415762206	7	14	o_ar_c,history_noise,notch_at_4k,mod_sn_gt_3k,o_ar_u,bser,air,ar_u,bone,ar_c,m_sn_gt_4k,history_nausea,history_vomiting,notch_4k
65	0.8988813995866124	7	67	o_ar_c,history_noise,air,airBoneGap,tymp,o_ar_u,notch_at_4k,ar_u,bone,m_sn_gt_4k,mod_sn_gt_1k,mod_sn_gt_3k,mod_sn_gt_2k,history_dizziness,m_m_sn_gt_500,m_s_sn_gt_3k,m_s_sn_gt_4k,m_s_gt_500,m_sn_lt_2k,m_sn_lt_3k,m_m_sn,ar_c,bser,history_buzzing,history_fluctuating,history_fullness,history_nausea,history_heredity,history_recruitment,history_roaring,history_ringing,history_vomiting,late_wave_poor,m_at_2k,m_cond_lt_1k,m_gt_1k,m_m_gt_2k,m_m_sn_gt_1k,m_sn_gt_3k,m_p_sn_gt_2k,m_m_sn_gt_2k,mod_sn_gt_4k,m_sn_2_3k,m_s_sn,m_s_sn_gt_1k,mod_gt_4k,mod_sn_gt_500,m_sn_gt_6k,m_s_sn_gt_2k,notch_4k,m_sn_gt_1k,boneAbnormal,mod_mixed,m_sn_gt_500,vmod_s_mixed,m_sn_gt_2k,m_sn_lt_1k,mod_sn,middle_wave_poor,mod_s_sn_gt_500,s_sn_gt_1k,s_sn_gt_4k,viith_nerve_signs,s_sn_gt_2k,wave_V_delayed,waveform_ItoV_prolonged,static_normal
68	0.9481563583987118	7	7	o_ar_c,history_noise,air,airBoneGap,bone,tymp,notch_4k
75	0.9486606647118948	7	7	o_ar_c,history_noise,air,airBoneGap,ar_c,tymp,notch_at_4k
76	0.9056829161441182	7	4	o_ar_c,history_noise,air,airBoneGap
