	highest_proba	outcome	cost_of_classification	used_features
39	0.7551097246980314	7	67	history_noise,air,o_ar_c,notch_at_4k,m_sn_gt_4k,static_normal,bser,m_cond_lt_1k,ar_c,ar_u,o_ar_u,history_nausea,boneAbnormal,history_vomiting,m_s_gt_500,m_s_sn_gt_4k,m_sn_lt_2k,m_sn_lt_3k,mod_sn_gt_1k,history_roaring,m_p_sn_gt_2k,airBoneGap,history_buzzing,m_m_sn_gt_1k,m_sn_gt_3k,m_m_sn_gt_500,m_m_sn_gt_2k,m_s_sn_gt_3k,mod_sn_gt_3k,history_fluctuating,history_fullness,history_heredity,history_recruitment,m_sn_2_3k,mod_sn_gt_4k,m_s_sn_gt_1k,history_ringing,mod_sn_gt_500,mod_gt_4k,m_sn_gt_6k,mod_mixed,notch_4k,late_wave_poor,m_m_sn,history_dizziness,m_at_2k,m_gt_1k,m_sn_gt_1k,m_sn_gt_2k,vmod_s_mixed,mod_sn,tymp,bone,mod_sn_gt_2k,m_m_gt_2k,m_s_sn,m_s_sn_gt_2k,m_sn_gt_500,m_sn_lt_1k,middle_wave_poor,mod_s_sn_gt_500,s_sn_gt_1k,s_sn_gt_4k,viith_nerve_signs,wave_V_delayed,waveform_ItoV_prolonged,s_sn_gt_2k
44	0.9244772659215922	7	10	history_noise,air,o_ar_c,bone,notch_at_4k,history_dizziness,m_sn_gt_1k,o_ar_u,bser,ar_c
55	0.9416976867424242	7	5	history_noise,air,o_ar_c,notch_at_4k,m_m_sn
56	0.914241427266664	2	5	history_noise,air,o_ar_c,bone,notch_4k
73	0.795058068002369	7	67	history_noise,air,o_ar_c,notch_at_4k,m_sn_gt_4k,static_normal,ar_u,ar_c,o_ar_u,notch_4k,boneAbnormal,m_m_sn,m_s_sn_gt_4k,history_dizziness,history_vomiting,m_sn_lt_2k,m_sn_lt_3k,mod_sn_gt_1k,m_m_sn_gt_2k,m_sn_gt_3k,mod_sn_gt_500,mod_sn_gt_4k,s_sn_gt_2k,airBoneGap,history_nausea,history_buzzing,m_s_sn_gt_3k,history_roaring,m_sn_gt_1k,m_m_sn_gt_500,mod_sn_gt_3k,history_fluctuating,bser,history_fullness,history_heredity,m_sn_gt_2k,m_cond_lt_1k,m_sn_2_3k,m_m_sn_gt_1k,m_s_gt_500,mod_gt_4k,m_p_sn_gt_2k,m_s_sn_gt_1k,m_sn_gt_6k,mod_mixed,vmod_s_mixed,mod_sn,tymp,m_m_gt_2k,mod_sn_gt_2k,history_recruitment,bone,history_ringing,late_wave_poor,m_at_2k,m_gt_1k,m_s_sn,m_s_sn_gt_2k,m_sn_gt_500,m_sn_lt_1k,middle_wave_poor,mod_s_sn_gt_500,s_sn_gt_1k,s_sn_gt_4k,viith_nerve_signs,wave_V_delayed,waveform_ItoV_prolonged
84	0.9210136740095332	7	9	history_noise,air,o_ar_c,notch_at_4k,s_sn_gt_4k,notch_4k,bone,ar_u,o_ar_u
98	0.9999650351374123	7	24	history_noise,air,o_ar_c,notch_at_4k,bone,notch_4k,m_m_sn_gt_2k,ar_u,ar_c,o_ar_u,history_dizziness,bser,m_m_sn,mod_sn_gt_1k,mod_sn_gt_3k,m_sn_lt_2k,m_s_sn_gt_4k,m_sn_lt_3k,m_m_sn_gt_500,m_sn_2_3k,boneAbnormal,m_sn_gt_4k,airBoneGap,history_nausea
101	0.9152435365261095	7	3	history_noise,air,o_ar_c
109	0.952264453860079	3	3	history_noise,air,o_ar_c
112	0.9175994386237262	7	7	history_noise,air,o_ar_c,notch_at_4k,notch_4k,m_sn_gt_1k,m_sn_gt_4k
121	0.914241427266664	2	5	history_noise,air,o_ar_c,bone,notch_4k
130	0.9895541347067589	9	6	history_noise,air,o_ar_c,bone,airBoneGap,tymp
132	0.914241427266664	2	5	history_noise,air,o_ar_c,bone,notch_4k
151	0.999556962545958	6	6	history_noise,air,o_ar_c,notch_4k,bone,notch_at_4k
153	0.9001281764248721	7	8	history_noise,air,o_ar_c,notch_at_4k,s_sn_gt_4k,notch_4k,bone,ar_u
