	highest_proba	outcome	cost_of_classification	used_features
3	0.9113734071358601	7	13	o_ar_c,history_noise,air,notch_at_4k,ar_u,mod_sn_gt_3k,history_nausea,mod_sn_gt_2k,mod_sn_gt_4k,m_sn_gt_4k,m_m_sn_gt_500,ar_c,m_m_sn_gt_2k
4	0.9075145919602915	2	10	o_ar_c,history_noise,notch_4k,notch_at_4k,mod_sn_gt_3k,history_nausea,ar_u,m_m_sn_gt_2k,mod_sn_gt_4k,bone
6	0.9075145919602915	2	10	o_ar_c,history_noise,notch_4k,notch_at_4k,mod_sn_gt_3k,history_nausea,ar_u,m_m_sn_gt_2k,mod_sn_gt_4k,bone
17	0.9972641239810254	6	4	o_ar_c,history_noise,notch_4k,notch_at_4k
49	0.9187467997632341	2	10	o_ar_c,history_noise,notch_4k,notch_at_4k,mod_sn_gt_3k,history_nausea,ar_u,m_m_sn_gt_2k,mod_sn_gt_4k,bone
52	0.9155477191024399	7	7	o_ar_c,history_noise,air,airBoneGap,ar_c,notch_at_4k,tymp
62	0.936356813988045	7	10	o_ar_c,history_noise,notch_4k,notch_at_4k,history_nausea,air,bone,ar_u,m_m_sn_gt_1k,ar_c
64	0.9041886584678259	7	5	o_ar_c,history_noise,air,notch_at_4k,notch_4k
70	0.9152893401265696	7	6	o_ar_c,history_noise,air,notch_at_4k,m_sn_gt_4k,m_sn_gt_1k
82	0.9898814034832029	14	6	o_ar_c,history_noise,air,airBoneGap,tymp,bone
92	0.9187467997632341	2	10	o_ar_c,history_noise,notch_4k,notch_at_4k,mod_sn_gt_3k,history_nausea,ar_u,m_m_sn_gt_2k,mod_sn_gt_4k,bone
93	0.9972641239810254	6	4	o_ar_c,history_noise,notch_4k,notch_at_4k
95	0.9187467997632341	2	10	o_ar_c,history_noise,notch_4k,notch_at_4k,mod_sn_gt_3k,history_nausea,ar_u,m_m_sn_gt_2k,mod_sn_gt_4k,bone
99	0.9187467997632341	2	10	o_ar_c,history_noise,notch_4k,notch_at_4k,mod_sn_gt_3k,history_nausea,ar_u,m_m_sn_gt_2k,mod_sn_gt_4k,bone
120	0.9174241376269986	7	11	o_ar_c,history_noise,air,notch_at_4k,bser,m_sn_gt_4k,mod_sn_gt_3k,history_nausea,m_m_sn_gt_500,m_sn_gt_1k,static_normal
122	0.9005902489358228	2	13	o_ar_c,history_noise,notch_4k,notch_at_4k,mod_sn_gt_3k,history_nausea,ar_u,m_m_sn_gt_2k,m_sn_gt_4k,bone,mod_sn_gt_4k,ar_c,m_m_sn
134	0.9859238017116039	9	5	o_ar_c,history_noise,air,airBoneGap,tymp
138	0.9331532583151658	7	9	o_ar_c,history_noise,air,o_ar_u,bser,ar_c,notch_at_4k,ar_u,m_sn_gt_4k
140	0.9823959461080108	7	6	o_ar_c,history_noise,notch_4k,notch_at_4k,mod_sn_gt_3k,history_nausea
154	0.9821103360412041	7	6	o_ar_c,history_noise,notch_4k,notch_at_4k,bone,history_nausea
